game_id,gen,phase,player,corp,action_type,tr,mc,mc_prod,steel,steel_prod,ti,ti_prod,plants,plant_prod,energy,energy_prod,heat,heat_prod,hand_size,tableau_size,colonies,temp,oxygen,oceans,venus,player_count,tag_building,tag_space,tag_science,tag_earth,tag_venus,tag_jovian,tag_plant,tag_microbe,tag_animal,tag_event,tag_power,tag_city,tag_mars,tag_moon,tag_wild,income,play_rate,urgency,total_tags,prod_score,max_opp_tr,avg_opp_tr,avg_opp_tableau,tr_gap,max_opp_tableau,avg_opp_tags,final_vp,winner,vp_rank
g1988ae96651b,1,Take your first action,Alpha,Interplanetary Cinematics,or,20,4,4,18,1,0,2,0,0,0,0,0,1,0,5,0,-28,0,0,2,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24,5.0,0.0238,4,11.4,22,21.0,4.5,-2,5,5.0,86,1,1
g1988ae96651b,2,Take your first action,Alpha,Interplanetary Cinematics,or,20,6,4,9,1,0,3,2,1,0,0,1,1,0,9,0,-26,0,1,2,3,4,0,1,1,0,1,1,0,0,1,0,0,0,0,0,24,4.5,0.0714,9,15.5,22,20.5,7.5,-2,8,8.5,86,1,1
g1988ae96651b,3,Take your next action,Alpha,Interplanetary Cinematics,or,19,0,4,7,1,0,3,3,1,4,0,2,3,0,11,0,-20,0,1,2,3,5,0,1,1,0,1,1,0,0,1,0,0,0,0,0,23,3.667,0.1429,10,17.1,21,20.0,8.0,-2,9,9.5,86,1,1
g1988ae96651b,4,Take your next action,Alpha,Interplanetary Cinematics,or,22,2,5,3,1,0,3,6,1,0,0,1,3,0,13,0,-14,0,1,6,3,6,0,1,1,0,1,2,0,0,2,0,0,0,0,0,27,3.25,0.2143,13,18.1,21,20.5,8.5,1,9,10.5,86,1,1
g1988ae96651b,5,Take your next action,Alpha,Interplanetary Cinematics,or,21,4,12,2,1,0,3,7,1,0,0,2,1,0,16,0,-16,0,1,6,3,7,1,1,3,0,1,2,0,0,2,0,0,0,0,0,33,3.2,0.1905,17,23.500000000000004,21,20.0,10.5,0,11,14.0,86,1,1
g1988ae96651b,6,Take your first action,Alpha,Interplanetary Cinematics,or,21,1,15,0,1,0,3,1,2,0,0,3,3,0,19,0,-14,1,1,8,3,8,1,1,3,0,1,3,0,0,3,0,0,0,0,0,36,3.167,0.2381,20,29.700000000000003,21,20.0,12.0,0,13,16.5,86,1,1
g1988ae96651b,7,Take your first action,Alpha,Interplanetary Cinematics,or,22,7,20,3,1,0,3,3,2,0,0,1,3,0,23,0,-14,1,1,12,3,10,1,2,3,0,1,3,0,0,4,0,0,0,0,0,42,3.286,0.2381,24,34.7,21,20.5,13.5,1,14,18.5,86,1,1
g1988ae96651b,8,Take your next action,Alpha,Interplanetary Cinematics,or,24,0,20,6,1,2,3,5,2,0,0,0,3,0,25,0,-12,3,2,12,3,10,1,2,3,0,1,3,0,0,6,0,0,0,0,0,44,3.125,0.3333,26,34.7,20,20.0,14.0,4,15,19.5,86,1,1
g1988ae96651b,9,Take your next action,Alpha,Interplanetary Cinematics,or,28,2,20,7,1,0,3,0,4,0,0,3,3,0,31,0,-10,6,3,14,3,10,1,4,3,0,1,4,2,0,8,0,0,0,0,0,48,3.444,0.4524,33,37.9,20,19.5,17.0,8,18,23.5,86,1,1
g1988ae96651b,10,Take your next action,Alpha,Interplanetary Cinematics,or,31,7,20,9,1,0,3,6,4,0,0,1,3,0,33,0,-4,6,6,16,3,11,1,4,3,0,1,4,2,0,9,0,0,0,0,0,51,3.3,0.5952,35,37.9,22,20.5,19.5,9,20,26.5,86,1,1
g1988ae96651b,11,Take your first action,Alpha,Interplanetary Cinematics,or,34,9,26,14,1,0,3,5,9,0,0,4,3,0,36,0,2,9,7,18,3,11,1,4,4,0,1,6,2,0,9,0,0,0,0,0,60,3.273,0.7619,38,51.9,25,21.5,22.0,9,24,30.5,86,1,1
g1988ae96651b,12,Take your next action,Alpha,Interplanetary Cinematics,or,39,2,29,18,1,0,3,3,10,0,0,2,3,0,38,0,8,11,8,20,3,11,2,4,4,1,1,7,2,0,9,0,0,0,0,0,68,3.167,0.9048,41,56.5,25,22.5,24.0,14,26,34.0,86,1,1
g1988ae96651b,13,Take your next action,Alpha,Interplanetary Cinematics,or,40,0,30,22,1,3,3,7,8,0,0,0,5,0,38,0,8,13,9,20,3,11,2,4,4,1,1,7,2,0,9,0,0,0,0,0,70,2.923,0.9762,41,55.900000000000006,25,22.5,26.5,15,28,37.5,86,1,1
g1988ae96651b,14,Take your first action,Alpha,Interplanetary Cinematics,or,39,79,30,23,1,5,3,15,8,0,0,5,5,0,38,0,8,13,9,22,3,11,2,4,4,1,1,7,2,0,9,0,0,0,0,0,69,2.714,0.9762,41,55.900000000000006,25,22.5,27.5,14,29,39.0,86,1,1
